Database	String	URL
Mendeley	KEYWORDS(("sars-cov-2" or "sars-cov2" or covid19 or "covid-19" or "sars" or "coronavirus" or "ncov2019" or "ncov-2019") and ("molecular dynamics" or "trajectories" or "dynamics simulation" or "trajectory" or "molecular docking"))	https://data.mendeley.com/research-data/?search=KEYWORDS((%22sars-cov-2%22%20or%20%22sars-cov2%22%20or%20covid19%20or%20%22covid-19%22%20or%20%22sars%22%20or%20%22coronavirus%22%20or%20%22ncov2019%22%20or%20%22ncov-2019%22)%20and%20(%22molecular%20dynamics%22%20or%20%22trajectories%22%20or%20%22dynamics%20simulation%22%20or%20%22trajectory%22%20or%20%22molecular%20docking%22))
Figshare	:description: sars-cov-2 AND :keyword: molecular dynamics	https://figshare.com/search?q=%3Adescription%3A%20sars-cov-2%20AND%20%3Akeyword%3A%20molecular%20dynamics&searchMode=1
